FishID,GeneLine
F75,high
F66,low
F76,high
F72,low
F78,high
F73,low
F74,low
F79,high
F67,low
F69,high
F68,low
F63,low
F80,high
F70,high
F71,high
F64,low
F119,high
F120,high
F121,low
F122,high
F123,high
F124,high
F125,high
F126,low
F127,high
F128,low
F129,low
F130,high
F65,low
F131,high
F351,high
F132,high
F77,high
F19,low
F133,high
F134,high
F7,high
F135,low
F136,high
F25,low
F137,high
F42,high
F49,high
F138,high
F112,low
F86,low
F44,high
F139,high
F140,low
F141,high
F142,low
F143,low
F144,high
F145,low
F146,high
F147,high
F148,low
F1,high
F149,low
F150,high
F30,low
F13,low
F151,low
F93,high
F51,high
F152,high
F52,high
F61,low
F153,low
F154,high
F59,low
F155,low
F156,high
F157,high
F158,low
F159,high
F20,low
F107,low
F103,high
F160,low
F161,high
F162,low
F163,low
F164,high
F165,high
F166,low
F167,high
F168,low
F169,high
F170,low
F171,high
F2,high
F37,low
F172,high
F33,low
F34,low
F173,low
F174,low
F83,low
F175,low
F8,high
F176,high
F98,high
F99,high
F177,low
F178,high
F179,low
F180,high
F181,low
F182,low
F183,low
F184,high
F185,high
F186,low
F187,low
F188,high
F189,high
F190,low
F191,high
F50,high
F26,low
F85,low
F192,low
F193,high
F194,high
F195,high
F196,high
F31,low
F35,low
F197,low
F198,low
F9,high
F3,high
F199,high
F90,high
F94,high
F200,high
F201,high
F202,high
F203,high
F204,high
F45,high
F38,low
F205,low
F43,high
F14,low
F113,low
F57,low
F206,low
F10,high
F207,high
F208,low
F209,high
F210,low
F87,low
F211,high
F212,low
F213,high
F53,high
F214,low
F215,low
F46,high
F39,high
F216,low
F217,high
F218,high
F219,low
F21,low
F220,low
F60,low
F27,low
F28,low
F221,low
F222,low
F223,high
F224,high
F15,low
F225,low
F226,low
F227,high
F228,low
F100,high
F229,low
F36,low
F230,high
F231,low
F232,low
F62,high
F108,low
F54,high
F233,low
F234,high
F235,high
F236,low
F237,low
F238,low
F239,low
F240,high
F241,high
F242,high
F4,high
F243,low
F244,high
F245,high
F246,low
F247,high
F248,low
F249,high
F250,low
F101,high
F251,low
F252,high
F253,low
F254,high
F255,low
F256,high
F109,low
F257,high
F95,high
F29,low
F258,low
F259,low
F114,low
F55,high
F22,low
F260,low
F261,low
F262,low
F263,high
F115,low
F11,high
F12,high
F264,low
F265,high
F266,high
F267,high
F268,high
F269,low
F81,low
F270,high
F271,high
F272,high
F91,high
F88,high
F5,high
F273,low
F102,high
F92,high
F274,low
F110,low
F275,low
F276,high
F277,low
F278,low
F279,low
F280,low
F281,low
F282,high
F16,low
F283,high
F284,low
F32,low
F285,low
F286,high
F287,low
F104,high
F288,low
F289,low
F290,high
F291,low
F292,high
F17,low
F293,low
F294,low
F295,high
F96,high
F296,low
F297,low
F298,high
F299,high
F300,low
F301,high
F82,low
F302,high
F105,high
F303,high
F304,high
F305,low
F306,high
F58,low
F307,high
F23,low
F308,high
F309,high
F310,low
F311,high
F312,high
F313,high
F106,high
F314,low
F315,high
F316,high
F317,low
F318,low
F319,high
F320,low
F40,high
F321,low
F322,low
F18,low
F323,high
F324,low
F325,low
F111,low
F326,low
F327,low
F117,low
F328,high
F329,high
F330,low
F24,low
F56,high
F331,high
F332,low
F333,high
F334,high
F335,high
F336,low
F337,high
F6,high
F338,low
F89,high
F339,low
F97,high
F340,high
F341,low
F41,high
F118,low
F48,high
F342,low
F343,low
F344,low
F345,low
F346,low
F347,high
F348,high
F349,low
F350,low
F116,high
