feature,outlierCount,outlierCount%,level,statMeanDiff,statMedianDiff,statVarDiff,mi
k__Bacteria,0,0.0,1,0.08117676,0.0,-2.0486336,0.0
k__Bacteria|p__Proteobacteria,114,32.38636363636363,2,0.117920876,-0.063374996,-4.859619,0.0
k__Bacteria|p__Fusobacteria,149,42.32954545454545,2,-0.60409546,1.18185,-1.8583984,0.0
k__Bacteria|p__Firmicutes,0,0.0,2,0.42638397,5.1518936,30.995728,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,136,38.63636363636363,3,0.5958867,-0.074605,57.11328,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia,149,42.32954545454545,3,-0.60409546,1.18185,-1.8583984,0.0
k__Bacteria|p__Firmicutes|c__Bacilli,0,0.0,3,0.37840652,3.3030663,-4.574402,0.0
k__Bacteria|p__Firmicutes|c__Clostridia,9,2.5568181818181817,3,0.021281242,0.6549492,-45.858337,0.00760516868008132
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,107,30.397727272727273,3,-0.45832658,-0.12798,-42.843292,0.0
k__Bacteria|p__Firmicutes|c__Tissierellia,104,29.545454545454547,3,0.012276307,-0.0025149956,0.0057826284,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales,149,42.32954545454545,4,-0.34377575,-0.095645,0.2690735,0.009210853962259291
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,149,42.32954545454545,4,-0.60409546,1.18185,-1.8583984,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,1,0.2840909090909091,4,0.3286972,2.2006264,-5.277466,0.0024056602928936854
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales,9,2.5568181818181817,4,0.021281242,0.6549492,-45.858337,0.01357346812975635
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,151,42.89772727272727,4,-0.06561679,-0.025084998,-0.69331384,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,168,47.72727272727273,4,-0.39270997,-0.023005,-42.91945,0.019701910683699753
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,89,25.28409090909091,4,0.04970932,-0.06388497,0.20138204,0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales,104,29.545454545454547,4,0.012276307,-0.0025149956,0.0057826284,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae,149,42.32954545454545,5,-0.34377575,-0.095645,0.2690735,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,149,42.32954545454545,5,-0.60409546,1.18185,-1.8583984,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,151,42.89772727272727,5,-0.06561679,-0.025084998,-0.69331384,0.004029075503448887
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0,0.0,5,-0.37281418,2.4247913,-16.362732,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae,23,6.534090909090909,5,-0.12346649,1.1404548,-58.145103,0.022817046105425787
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,36,10.227272727272727,5,0.059319213,0.015115,4.3160095,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,5,1.4204545454545454,5,0.64866734,3.12821,51.20333,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae,44,12.5,5,0.12549353,0.4474299,-0.8590889,0.0
