feature,outlierCount,outlierCount%,level,mi
UNMAPPED,50,14.204545454545455,1,0.007534505500535804
UNINTEGRATED,31,8.806818181818182,1,0.0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_albensis,0,0.0,4,0.0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_johnsonii,0,0.0,4,0.023693640857378684
UNINTEGRATED|g__Aeromonas.s__Aeromonas_bestiarum,0,0.0,4,0.0024397236507396336
UNINTEGRATED|g__Aeromonas.s__Aeromonas_diversa,0,0.0,4,0.0
UNINTEGRATED|g__Aeromonas.s__Aeromonas_hydrophila,0,0.0,4,0.0
UNINTEGRATED|g__Aeromonas.s__Aeromonas_media,0,0.0,4,0.0
UNINTEGRATED|g__Aeromonas.s__Aeromonas_rivipollensis,0,0.0,4,0.0
UNINTEGRATED|g__Aeromonas.s__Aeromonas_sobria,0,0.0,4,0.07119871517102605
UNINTEGRATED|g__Aeromonas.s__Aeromonas_veronii,0,0.0,4,0.010637140313519255
UNINTEGRATED|g__Anoxybacillus.s__Anoxybacillus_flavithermus,0,0.0,4,0.0
UNINTEGRATED|g__Bacillus.s__Bacillus_clausii,0,0.0,4,0.016249998062733306
UNINTEGRATED|g__Bacillus.s__Bacillus_coagulans,0,0.0,4,0.04070994758378177
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_criceti,0,0.0,4,0.028654753447430847
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_gallinarum,0,0.0,4,0.016965710239763343
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum,0,0.0,4,0.027421173274022825
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pullorum,0,0.0,4,0.01165709918452551
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004,0,0.0,5,0.0
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_divergens,0,0.0,4,0.043381041167988244
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_inhibens,0,0.0,4,0.04226488177818988
UNINTEGRATED|g__Carnobacterium.s__Carnobacterium_maltaromaticum,0,0.0,4,0.06206854595864475
UNINTEGRATED|g__Clostridiaceae_unclassified.s__Clostridiaceae_bacterium_14S0207,0,0.0,6,0.023555999924608884
UNINTEGRATED|g__Clostridium.s__Clostridium_botulinum,0,0.0,4,0.0
